1 * 2 , 2
8 * A , 3B
9 * A , 3L
A * A , 48
B * A , 4I
C * A , 55
D * A , 5F
E * A , 62
F * A , 6C
G * A , 6M
H * A , 79
I * A , 7J
J * A , 86
K * A , 8G
L * A , 93
M * A , 9D
1 * B , B
2 * B , M
3 * B , 1A
4 * B , 1L
5 * B , 29
6 * B , 2K
7 * B , 38
8 * B , 3J
9 * B , 47
A * B , 4I
B * B , 56
C * B , 5H
D * B , 65
E * B , 6G
F * B , 74
G * B , 7F
H * B , 83
I * B , 8E
J * B , 92
K * B , 9D
L * B , A1
M * B , AC
1 * C , C
2 * C , 11
3 * C , 1D
4 * C , 22
5 * C , 2E
6 * C , 33
7 * C , 3F
8 * C , 44
9 * C , 4G
A * C , 55
B * C , 5H
C * C , 66
D * C , 6I
E * C , 77
F * C , 7J
G * C , 88
H * C , 8K
I * C , 99
J * C , 9L
K * C , AA
L * C , AM
M * C , BB
1 * D , D
2 * D , 13
3 * D , 1G
4 * D , 26
5 * D , 2J
6 * D , 39
7 * D , 3M
8 * D , 4C
9 * D , 52
A * D , 5F
B * D , 65
C * D , 6I
D * D , 78
E * D , 7L
F * D , 8B
G * D , 91
H * D , 9E
I * D , A4
J * D , AH
K * D , B7
L * D , BK
M * D , CA
1 * E , E
2 * E , 15
3 * E , 1J
4 * E , 2A
5 * E , 31
6 * E , 3F
7 * E , 46
8 * E , 4K
9 * E , 5B
A * E , 62
B * E , 6G
C * E , 77
D * E , 7L
E * E , 8C
F * E , 93
G * E , 9H
H * E , A8
I * E , AM
J * E , BD
K * E , C4
L * E , CI
M * E , D9
1 * F , F
2 * F , 17
3 * F , 1M
4 * F , 2E
5 * F , 36
6 * F , 3L
7 * F , 4D
8 * F , 55
9 * F , 5K
A * F , 6C
B * F , 74
C * F , 7J
D * F , 8B
E * F , 93
F * F , 9I
G * F , AA
H * F , B2
I * F , BH
J * F , C9
K * F , D1
L * F , DG
M * F , E8
1 * G , G
2 * G , 19
3 * G , 22
4 * G , 2I
5 * G , 3B
6 * G , 44
7 * G , 4K
8 * G , 5D
9 * G , 66
A * G , 6M
B * G , 7F
C * G , 88
D * G , 91
E * G , 9H
F * G , AA
G * G , B3
H * G , BJ
I * G , CC
J * G , D5
K * G , DL
L * G , EE
M * G , F7
1 * H , H
2 * H , 1B
3 * H , 25
4 * H , 2M
5 * H , 3G
6 * H , 4A
7 * H , 54
8 * H , 5L
9 * H , 6F
A * H , 79
B * H , 83
C * H , 8K
D * H , 9E
E * H , A8
F * H , B2
G * H , BJ
H * H , CD
I * H , D7
J * H , E1
K * H , EI
L * H , FC
M * H , G6
1 * I , I
2 * I , 1D
3 * I , 28
4 * I , 33
5 * I , 3L
6 * I , 4G
7 * I , 5B
8 * I , 66
9 * I , 71
A * I , 7J
B * I , 8E
C * I , 99
D * I , A4
E * I , AM
F * I , BH
G * I , CC
H * I , D7
I * I , E2
J * I , EK
K * I , FF
L * I , GA
M * I , H5
1 * J , J
2 * J , 1F
3 * J , 2B
4 * J , 37
5 * J , 43
6 * J , 4M
7 * J , 5I
8 * J , 6E
9 * J , 7A
A * J , 86
B * J , 92
C * J , 9L
D * J , AH
E * J , BD
F * J , C9
G * J , D5
H * J , E1
I * J , EK
J * J , FG
K * J , GC
L * J , H8
M * J , I4
1 * K , K
2 * K , 1H
3 * K , 2E
4 * K , 3B
5 * K , 48
6 * K , 55
7 * K , 62
8 * K , 6M
9 * K , 7J
A * K , 8G
B * K , 9D
C * K , AA
D * K , B7
E * K , C4
F * K , D1
G * K , DL
H * K , EI
I * K , FF
J * K , GC
K * K , H9
L * K , I6
M * K , J3 
