2 + 1 , 3
A + E , 11
B + E , 12
C + E , 13
D + E , 14
E + E , 15
F + E , 16
G + E , 17
H + E , 18
I + E , 19
J + E , 1A
K + E , 1B
L + E , 1C
M + E , 1D
2 + F , H
3 + F , I
4 + F , J
5 + F , K
6 + F , L
7 + F , M
8 + F , 10
9 + F , 11
A + F , 12
B + F , 13
C + F , 14
D + F , 15
E + F , 16
F + F , 17
G + F , 18
H + F , 19
I + F , 1A
J + F , 1B
K + F , 1C
L + F , 1D
M + F , 1E
2 + G , I
3 + G , J
4 + G , K
5 + G , L
6 + G , M
7 + G , 10
8 + G , 11
9 + G , 12
A + G , 13
B + G , 14
C + G , 15
D + G , 16
E + G , 17
F + G , 18
G + G , 19
H + G , 1A
I + G , 1B
J + G , 1C
K + G , 1D
L + G , 1E
M + G , 1F
2 + H , J
3 + H , K
4 + H , L
5 + H , M
6 + H , 10
7 + H , 11
8 + H , 12
9 + H , 13
A + H , 14
B + H , 15
C + H , 16
D + H , 17
E + H , 18
F + H , 19
G + H , 1A
H + H , 1B
I + H , 1C
J + H , 1D
K + H , 1E
L + H , 1F
M + H , 1G
2 + I , K
3 + I , L
4 + I , M
5 + I , 10
6 + I , 11
7 + I , 12
8 + I , 13
9 + I , 14
A + I , 15
B + I , 16
C + I , 17
D + I , 18
E + I , 19
F + I , 1A
G + I , 1B
H + I , 1C
I + I , 1D
J + I , 1E
K + I , 1F
L + I , 1G
M + I , 1H
